Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Cbst,MuRata,GRM3195C2A222JA01D,1,0.13,10.92,Cap: 2.2 nF  Total Derated Cap: 2.2 nF  VDC: 100 V  ESR: 1 mΩ  Package: 1206  
Rfbt,Yageo,RC1206FR-07178KL,1,0.01,10.92,Resistance: 178 kΩ  Tolerance: 1.0%  Power: 250 mW  
U1,Texas Instruments,LM5163DDAR,1,0.945,55.2,
Cout,MuRata,GRM31CR71A226KE15L,1,0.12,10.92,Cap: 22 µF  Total Derated Cap: 18 µF  VDC: 10 V  ESR: 3.59 mΩ  Package: 1206  
Rfbb,Yageo,RT0805BRD07101KL,1,0.054,6.75,Resistance: 101 kΩ  Tolerance: 0.1%  Power: 125 mW  
Cin,TDK,C3225X7R2A225K230AB,1,0.21,14.7,Cap: 2.2 µF  Total Derated Cap: 930 nF  VDC: 100 V  ESR: 1.73 mΩ  Package: 1210_250  
L1,NIC Components,NPI75C470KTRF,1,0.111,93.93,L: 47 µH  DCR: 180 mΩ  IDC: 1.1 A  
Cac,Kemet,C1206C101K5GACTU,1,0.03,10.92,Cap: 100 pF  Total Derated Cap: 100 pF  VDC: 50 V  ESR: 0 Ω  Package: 1206  
Rr,Vishay-Dale,CRCW1206232KFKEA,1,0.01,10.92,Resistance: 232 kΩ  Tolerance: 1.0%  Power: 250 mW  
Cr,MuRata,GRM3195C2A222JA01D,1,0.13,10.92,Cap: 2.2 nF  Total Derated Cap: 2.2 nF  VDC: 100 V  ESR: 1 mΩ  Package: 1206  
Ron,Vishay-Dale,CRCW120627K4FKEA,1,0.01,10.92,Resistance: 27.4 kΩ  Tolerance: 1.0%  Power: 250 mW  
